Run,ReleaseDate,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,Model,Sample,Submission,BioSample,Experiment,BioProject,spots,bases,avgLength,size_MB,Prediction,Confidence_Level,Note
SRR11467541,2020-08-28 08:26:59,WGS,RANDOM,GENOMIC,SINGLE,MinION,SRS6415654,SRA1061707,SAMN14521609,SRX8044109,PRJNA622577,952031.0,5540926965.0,5820.0,4513.0,R9-guppy-2-NONE,low,
SRR11467540,2020-08-28 08:26:59,WGS,RANDOM,GENOMIC,SINGLE,MinION,SRS6415655,SRA1061707,SAMN14521610,SRX8044110,PRJNA622577,2654406.0,3928650376.0,1480.0,3403.0,R9-guppy-2-NONE,medium,
ERR3988489,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386014,ERA2409679,SAMEA6623873,ERX3990354,PRJEB37264,7831128.0,71024706541.0,9069.0,67050.0,R9-guppy-2-NONE,low,
ERR3988501,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386026,ERA2409679,SAMEA6623885,ERX3990366,PRJEB37264,8012575.0,80510919536.0,10048.0,76140.0,R9-guppy-2-NONE,low,
ERR3988506,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386031,ERA2409679,SAMEA6623890,ERX3990371,PRJEB37264,5578261.0,58391495159.0,10467.0,52947.0,R9-guppy-2-NONE,low,
SRR9119489,2019-05-27 13:41:49,OTHER,other,GENOMIC,SINGLE,MinION,SRS3228294,SRA890146,SAMN08997589,SRX5893475,PRJNA454059,497915.0,1843602381.0,3702.0,1355.0,R9-guppy-2-NONE,very low,
ERR2631600,2018-12-14 16:08:39,WGS,RANDOM,GENOMIC,SINGLE,PromethION,ERS2544835,ERA1517533,SAMEA4724698,ERX2648094,PRJEB26791,3497538.0,48256713367.0,13797.0,36826.0,R9-guppy-2-NONE,very low,
ERR2585112,2018-12-14 13:22:15,WGS,RANDOM,GENOMIC,SINGLE,PromethION,ERS2487860,ERA1487587,SAMEA4667243,ERX2601897,PRJEB26791,4049538.0,58983450538.0,14565.0,45210.0,R9-guppy-2-NONE,very low,
SRR12810509,2020-10-13 21:30:43,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507057,SRA1141701,SAMN16420563,SRX9279122,PRJNA668750,5318.0,6739551.0,1267.0,5.0,R9-guppy-3or4-FAST,high,
SRR12810510,2020-10-13 21:30:43,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507056,SRA1141701,SAMN16420562,SRX9279121,PRJNA668750,4536.0,3551730.0,783.0,3.0,R9-guppy-3or4-FAST,high,
